,NAME,INDEX,VALUATION AVG,TOTAL FUNDING USD,FUNDING FROM EARLY STAGES,FUNDING FROM EARLY STAGES > 2M,FUNDING UP UNTIL VALUATION DATE,AVG REVENUE,AVG REVENUE GROWTH,AVG EMPLOYEE GROWTH,VALUATION TO FUNDING RATIO,IS_MARKETING_INDUSTRY,IS_HEALTH_INDUSTRY,IS_ENTERPRISE SOFTWARE_INDUSTRY,IS_FINTECH_INDUSTRY,IS_FOOD_INDUSTRY,IS_ENERGY_INDUSTRY,IS_HOME LIVING_INDUSTRY,IS_TRANSPORTATION_INDUSTRY,IS_MEDIA_INDUSTRY,REVENUE MODEL MARKETPLACE & ECOMMERCE,REVENUE MODEL MANUFACTURING,REVENUE MODEL SAAS,HQ STOCKHOLM,HQ OSLO,HQ HELSINKI,HQ COPENHAGEN
2551,Enjay AB,2551.0,15.5,0.39157179109546575,0.39157179109546575,0,0.3351359416352498,0.0,0.0,0.0,46.24988870000001,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2553,Future Dialog,2553.0,1.05,0.38376377632946834,0.38376377632946834,0,0.38376377632946834,166666.66666666666,1.4142135623730951,0.0,2.7360581294117647,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
2554,Hookle,2554.0,0.7,0.19188188816473417,0.19188188816473417,0,0.19188188816473417,0.0,0.0,1.0,3.6480775058823527,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2555,Maindeck,2555.0,15.0,0.33809849921626234,0.33809849921626234,0,0.33809849921626234,0.0,0.0,1.0,44.36576925,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
2556,Flattered,2556.0,75.0,1.6216255240415314,1.6216255240415314,0,1.6216255240415314,2100000.0,1.7782794100389228,0.0,46.2498887,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2557,In2cure,2557.0,5.0,0.10810836826943541,0.10810836826943541,0,0.10810836826943541,102500.0,0.8549879733383485,0.0,46.24988870000001,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2558,Tillit Forsikring,2558.0,5.0,0.11269949973875411,0.11269949973875411,0,0.11269949973875411,28750.0,2.0,0.0,44.36576925,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2559,Heydesk,2559.0,2.5,0.5700000000000001,0.5700000000000001,0,0.5700000000000001,0.0,0.0,0.0,4.385964912280701,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2582,CageEye,2582.0,11.5,2.3,2.3,1,2.3,0.0,0.0,0.0,5.0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
2583,Salestools.io,2583.0,0.5,0.1,0.1,0,0.1,0.0,0.0,0.0,5.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2587,XIMANTIS,2587.0,0.25,0.14616579512384734,0.14616579512384734,0,0.057297435182800775,52250.0,1.100642416298209,0.0,4.363197047169812,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2597,Enjay Filtration,2597.0,15.5,0.39157179109546575,0.39157179109546575,0,0.3351359416352498,190000.0,0.0,0.0,46.24988870000001,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2611,Typelane,2611.0,12.5,0.3041324303497181,0.3041324303497181,0,0.3041324303497181,114000.0,0.0,0.0,41.10051659280928,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2613,Gigital,2613.0,12.0,0.2918925943274756,0.2918925943274756,0,0.2918925943274756,266666.6666666667,2.0,0.0,41.11101217777778,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2619,Versor,2619.0,12.0,0.27047879937300984,0.27047879937300984,0,0.27047879937300984,29250.0,0.5503212081491045,0.0,44.36576925000001,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
2624,Screenful,2624.0,1.525,0.485348305357857,0.485348305357857,0,0.485348305357857,204000.0,1.7782794100389228,0.0,3.1420733999999997,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
